Algorithm,Processes,Size,Latency
basic_linear,48,8,4.98
basic_linear,48,16,5.04
basic_linear,48,32,5.41
basic_linear,48,64,5.68
basic_linear,48,128,10.5
basic_linear,48,256,11.22
basic_linear,48,512,11.76
basic_linear,48,1024,15.34
basic_linear,48,2048,19.68
basic_linear,48,4096,27.93
basic_linear,48,8192,40.62
basic_linear,48,16384,27.73
basic_linear,48,32768,52.27
basic_linear,48,65536,104.59
basic_linear,48,131072,242.59
basic_linear,48,262144,489.13
basic_linear,48,524288,984.82
basic_linear,48,1048576,1935.37
