Algorithm,Processes,Size,Latency
basic_linear,256,128,
basic_linear,256,256,
basic_linear,256,512,
basic_linear,256,1024,
basic_linear,256,2048,
basic_linear,256,4096,
basic_linear,256,8192,
basic_linear,256,16384,
basic_linear,256,32768,
basic_linear,256,65536,
basic_linear,256,131072,
basic_linear,256,262144,
basic_linear,256,524288,
basic_linear,256,1048576,
